Table 6
LTE Parameters for the Sgr B2(N) Full-band Model (Emission Components)

Molecule	theta_s	T_rot	N_tot	Deltav	v_lsr	
(")	(K)	(cm^-2)	(km s^-1)	(km s^-1)	
C^18O	25	60	1.0e17	10	66	
C^18O	25	60	2.0e16	10	76	
C^17O	25	60	3.1e16	10	66	
C^17O	25	60	6.3e15	10	76	
^13C^18O	25	60	5.0e15	10	66	
^13C^18O	25	60	1.0e15	10	76	
CH_3OH	3.1	170	5.0e18	9	64	
CH_3OH	30	80	1.0e16	9	64	
^13CH_3OH	3.1	170	2.5e17	9	64	
^13CH_3OH	30	80	5.0e14	9	64	
^13CH_3OH	30	80	1.5e14	10	66	
^13CH_3OH	30	80	2.5e14	15	66	
HCO	3.1	100	1.0e16	10	64	
H_2CCO	2.3	180	7.0e16	8	62	
H_2CCO	25	60	5.0e13	15	76	
H_2CCO	25	20	3.5e15	10	58	
H^13CO^+	3.1	150	6.0e14	10	64	
CH_3OCH_3	3.7	130	2.8e17	8.5	64	
C_2H_5OH	3.7	100	2.0e17	7.0	64	
CH_3NH_2	2.5	150	5.0e17	7.0	64	
CH_2NH	2.5	150	7.0e16	6.0	64	
NH_2	15	100	8.0e15	13	64	
N_2H^+	25	37	6.5e13	13	62	
NO	2.3	180	1.0e18	8	65	
NO	8.0	50	1.5e17	16	67	
HNCO	2.3	280	9.5e16	8	62	
NH_2CHO	2.3	130	2.4e17	7	64	
NHCHO	2.3	130	1.2e16	7	64	
HC^15N	12	63	4.0e13	22	47	
HC^15N	12	63	6.0e13	11	67	
HC^15N	12	63	5.0e13	14	78	
DCN	12	63	2.5e13	22	47	
DCN	12	63	3.0e13	11	67	
DCN	12	63	2.0e13	14	78	
HN^13C	12	63	4.0e13	22	47	
HN^13C	12	63	4.5e13	11	67	
HN^13C	12	63	3.0e13	14	78	
CH_3CN	4	90	8.5e15	6.5	57	
CH_3CN	2	300	1.4e16	6.5	69	
C^13H_3CN	2	200	1.3e16	6.5	63	
CHCN	2	200	1.3e16	6.5	63	
C_2H_5CN	2	150	6.0e17	8.0	62	
C_2H_5CN	2	120	2.5e17	6.5	72	
C_2H_3CN	2	150	1.0e17	8.0	62	
CN	20	40	7.0e14	10	64	
H_2S	7	160	1.5e17	7	64	
H_2S	7	190	4.0e16	6	64	
HS	7	160	1.5e16	7	64	
HS	7	190	4.0e15	6	64	
HS	2.8	120	5.9e16	6	64	
SO	2.8	150	1.0e17	10	64	
SO	2.8	180	1.0e16	14	78	
SO	50	120	1.0e14	8	67	
SO	50	120	3.0e14	30	65	
^34SO	2.8	150	1.0e16	10	64	
SO_2	2.8	150	1.5e17	10	64	
SO_2	2.8	180	1.5e16	14	80	
SO_2	50	120	1.5e14	8	67	
SO_2	10	85	2.8e15	35	67	
SO_2	10	20	2.8e15	35	67	
C^34S	2.8	120	4.6e15	10	64	
C^34S	10	85	2.8e14	35	67	
^13CS	2.8	120	4.6e15	10	64	
^13CS	10	85	2.8e14	35	67	
C^33S	2.8	120	2.3e15	10	64	
C^33S	10	85	1.4e14	35	67	
H_2CS	2.8	120	5.0e16	10	62	
OCS	2.8	200	3.5e17	8	63	
NS	2.8	90	1.0e16	9	64	
NS	2.8	90	6.1e15	8	73	
CCH	22	50	6.0e14	13	64	
