Molecule theta_s T_rot N_tot v_lsr Deltav
C_2H_3CN 20 130 750000000000000.0 3.5 12.5
C_2H_3CN 10 215 2700000000000000.0 5.0 5.5
C_2H_5CN 10 136 2.1e+16 5.0 7.0
C_2H_5CN 5 300 6500000000000000.0 5.0 7.0
CH_2NH 10 130 1300000000000000.0 6.0 8.0
"CH_3CN,nu_8 = 1" 10 260 3700000000000000.0 6.0 6.0
^13CH_3CN 20 80 80000000000000.0 5.5 8.0
^13CH_3CN 10 260 130000000000000.0 5.5 8.0
CH_3^13CN 20 80 80000000000000.0 5.5 8.0
CH_3^13CN 10 260 130000000000000.0 5.5 8.0
HC_3N 20 10 1000000000000000.0 5.5 6.5
HC_3N 10 210 1500000000000000.0 5.5 6.5
"HC_3N,nu_7 = 1" 20 10 1000000000000000.0 5.5 6.5
"HC_3N,nu_7 = 1" 10 210 1500000000000000.0 5.5 6.5
"HCN,nu_2 = 2" 10 217 4.7e+17 6.0 7.0
"H^13CN,nu_2 = 1" 10 157 3.5e+16 5.5 6.0
HC^15N 20 20 150000000000000.0 4.5 10.0
HC^15N 10 210 350000000000000.0 4.5 10.0
DCN 20 20 90000000000000.0 6.0 8.0
DCN 10 210 160000000000000.0 5.5 8.0
"HNC,nu_2 = 1" 10 220 1300000000000000.0 4.5 7.0
HN^13C 20 15 3000000000000.0 2.5 8.5
HN^13C 10 220 35000000000000.0 2.5 8.5
HN^13CO 20 30 45000000000000.0 6.3 6.2
HN^13CO 10 209 490000000000000.0 6.3 6.2
o-NH_2 10 130 1300000000000000.0 6.0 12.0
NH_3,nu_2 10 250 1.3e+17 6.0 5.5
^15NH_3 10 200 1000000000000000.0 5.0 5.5
NH_2D 10 250 3900000000000000.0 6.2 6.0
NO 10 180 1.7e+17 6.0 8.0
NS 10 105 2100000000000000.0 4.2 10.5
