Molecule	theta_s	T_rot	N_tot	v_lsr	Deltav	
(")	(K)	(cm^-2)	(km s^-1)	(km s^-1)	
Compact ridge	
C_2H_5OH	10	110	6.5e15	7.8	2.5	
CH_3CN,nu_8 = 1	10	230	3.5e15	7.5	4.0	
^13CH_3CN	10	230	1.1e14	7.5	4.0	
CH_3^13CN	10	230	1.1e14	7.5	4.0	
CH_3OCH_3	10	110	6.5e16	8.0	3.2	
CH_3OCHO	10	110	1.3e17	8.0	2.8	
^13CH_3OH	10	140	1.0e16	7.8	2.5	
CH_3OD-A	10	140	1.7e15	7.8	2.5	
CH_3OD-E	10	140	1.7e15	7.8	2.5	
CH_2DOH	10	140	8.1e15	7.8	2.5	
C^18O	10	125	1.3e17	8.0	4.0	
C^17O	10	125	2.0e16	8.0	4.0	
^13C^18O	10	125	2.5e15	8.0	4.0	
^13CS	10	225	2.0e14	7.2	4.0	
C^34S	10	225	2.5e14	7.2	4.0	
C^33S	10	225	1.3e14	7.2	4.0	
H_2CCO	10	100	2.0e15	8.0	3.0	
H_2^13CO	15	50	3.8e14	8.0	3.5	
HDCO	12	60	1.8e14	10.0	2.2	
HDCO	12	60	2.6e14	7.7	2.2	
H_2CS	10	100	2.9e15	8.0	3.0	
H_2^17O	5	150	9.0e14	8.0	3.0	
HDO	5	150	3.5e15	8.0	3.0	
H^13CN	10	120	3.6e13	8.0	4.0	
DCN	10	120	1.7e13	8.0	4.0	
H^13CO^+	20	100	3.0e12	9.0	5.5	
HCS^+	10	105	1.8e14	9.0	6.0	
HNC	10	80	6.5e13	9.0	3.0	
NH_2CHO	10	190	7.5e14	7.2	4.8	
NO	10	70	3.2e16	7.2	2.5	
NS	10	200	6.1e14	7.7	5.5	
OCS	10	165	4.3e15	7.5	2.5	
OD	10	125	2.5e14	8.0	3.5	
SO_2	10	100	1.8e15	8.2	3.0	
