Molecule	theta_s	T_rot	N_tot	v_lsr	Deltav	
(")	(K)	(cm^-2)	(km s^-1)	(km s^-1)	
Hot core	
C_2H_3CN	20	130	7.5e14	3.5	12.5	
C_2H_3CN	10	215	2.7e15	5.0	5.5	
C_2H_5CN	10	136	2.1e16	5.0	7.0	
C_2H_5CN	5	300	6.5e15	5.0	7.0	
CH_2NH	10	130	1.3e15	6.0	8.0	
CH_3CN,nu_8 = 1	10	260	3.7e15	6.0	6.0	
^13CH_3CN	20	80	8.0e13	5.5	8.0	
^13CH_3CN	10	260	1.3e14	5.5	8.0	
CH_3^13CN	20	80	8.0e13	5.5	8.0	
CH_3^13CN	10	260	1.3e14	5.5	8.0	
C^18O	10	150	1.9e17	6.0	9.0	
C^17O	10	150	6.3e16	6.0	9.0	
H_2O,nu_2	5	270	1.7e19	5.5	7.0	
H_2^17O	5	270	5.5e15	4.8	7.0	
HDO	5	270	3.0e16	5.0	7.0	
H_2^34S	6	145	3.8e16	4.5	8.6	
H_2^33S	6	145	1.1e16	4.5	8.6	
HC_3N	20	10	1.0e15	5.5	6.5	
HC_3N	10	210	1.5e15	5.5	6.5	
HC_3N,nu_7 = 1	20	10	1.0e15	5.5	6.5	
HC_3N,nu_7 = 1	10	210	1.5e15	5.5	6.5	
HCN,nu_2 = 2	10	217	4.7e17	6.0	7.0	
H^13CN,nu_2 = 1	10	157	3.5e16	5.5	6.0	
HC^15N	20	20	1.5e14	4.5	10.0	
HC^15N	10	210	3.5e14	4.5	10.0	
DCN	20	20	9.0e13	6.0	8.0	
DCN	10	210	1.6e14	5.5	8.0	
H^13CO^+	10	190	9.0e12	6.0	10.0	
HNC,nu_2 = 1	10	220	1.3e15	4.5	7.0	
HN^13C	20	15	3.0e12	2.5	8.5	
HN^13C	10	220	3.5e13	2.5	8.5	
HN^13CO	20	30	4.5e13	6.3	6.2	
HN^13CO	10	209	4.9e14	6.3	6.2	
o-NH_2	10	130	1.3e15	6.0	12.0	
NH_3,nu_2	10	250	1.3e17	6.0	5.5	
^15NH_3	10	200	1.0e15	5.0	5.5	
NH_2D	10	250	3.9e15	6.2	6.0	
NO	10	180	1.7e17	6.0	8.0	
NS	10	105	2.1e15	4.2	10.5	
OCS	10	190	3.2e16	6.0	8.0	
^34SO	20	70	4.5e14	4.5	7.0	
^34SO	10	258	1.8e15	4.5	7.0	
^33SO	20	70	2.3e14	4.5	7.0	
^33SO	10	258	5.0e14	4.5	7.0	
SO_2,nu_2 = 1	10	240	9.0e16	6.0	7.0	
^34SO_2	20	50	1.1e15	5.0	8.0	
^34SO_2	10	240	5.0e15	5.0	8.0	
^33SO_2	20	50	2.6e14	5.0	8.0	
^33SO_2	10	240	1.3e15	5.0	8.0	
