Table 6
LTE Parameters for the Sgr B2(N) Full-band Model (Emission Components)

Molecule	Source Size	T_rot^a	N_tot^a	Deltav	v_LSR	
(")	(K)	(cm^-2)	(km s^-1)	(km s^-1)	
^13CO	25	60	 sdotsdotsdot	10	66	
	25	60	 sdotsdotsdot	10	76	
C^18O	25	60	1.0 x 10^17	10	66	
	25	60	2.0 x 10^16	10	76	
C^17O	25	60	3.1 x 10^16	10	66	
	25	60	6.3 x 10^15	10	76	
^13C^18O	25	60	5.0 x 10^15	10	66	
	25	60	1.0 x 10^15	10	76	
CH_3OH	3.1	170	5.0 x 10^18	9	64	
	30	80	1.0 x 10^16	9	64	
^13CH_3OH	3.1	170	2.5 x 10^17	9	64	
	30	80	5.0 x 10^14	9	64	
H_2CO	3.1	 sdotsdotsdot	 sdotsdotsdot	12	64	
	30	80	1.5 x 10^14	10	66	
	30	80	2.5 x 10^14	15	66	
HCO	3.1	100	1.0 x 10^16	10	64	
H_2CCO	2.3	180	7.0 x 10^16	8	62	
HCO^+	25	 sdotsdotsdot	 sdotsdotsdot	10	64	
	25	60	5.0 x 10^13	15	76	
	25	20	3.5 x 10^15	10	58	
H^13CO^+	3.1	150	6.0 x 10^14	10	64	
CH_3OCH_3	3.7	130	2.8 x 10^17	8.5	64	
C_2H_5OH	3.7	100	2.0 x 10^17	7.0	64	
CH_3NH_2	2.5	150	5.0 x 10^17	7.0	64	
CH_2NH	2.5	150	7.0 x 10^16	6.0	64	
NH_2	15	100	8.0 x 10^15	13	64	
N_2H^+	25	37	6.5 x 10^13	13	62	
NO	2.3	180	1.0 x 10^18	8	65	
	8.0	50	1.5 x 10^17	16	67	
HNCO	2.3	280	9.5 x 10^16	8	62	
NH_2CHO	2.3	130	2.4 x 10^17	7	64	
NHCHO	2.3	130	1.2 x 10^16	7	64	
HCN	12	63	 sdotsdotsdot	22	47	
	12	40	 sdotsdotsdot	11	58	
	12	 sdotsdotsdot	 sdotsdotsdot	14	78	
H^13CN	12	63	 sdotsdotsdot	22	47	
	12	63	 sdotsdotsdot	11	67	
	12	63	 sdotsdotsdot	14	78	
HC^15N	12	63	4.0 x 10^13	22	47	
	12	63	6.0 x 10^13	11	67	
	12	63	5.0 x 10^13	14	78	
DCN	12	63	2.5 x 10^13	22	47	
	12	63	3.0 x 10^13	11	67	
	12	63	2.0 x 10^13	14	78	
HNC	12	50	 sdotsdotsdot	14	47	
	12	63	 sdotsdotsdot	8	65	
	12	80	 sdotsdotsdot	14	78	
HN^13C	12	63	4.0 x 10^13	22	47	
	12	63	4.5 x 10^13	11	67	
	12	63	3.0 x 10^13	14	78	
CH_3CN	4	90	8.5 x 10^15	6.5	57	
	3	250	 sdotsdotsdot	6.5	63	
	2	300	1.4 x 10^16	6.5	69	
C^13H_3CN	2	200	1.3 x 10^16	6.5	63	
CHCN	2	200	1.3 x 10^16	6.5	63	
C_2H_5CN	2	150	6.0 x 10^17	8.0	62	
	2	120	2.5 x 10^17	6.5	72	
C_2H_3CN	2	150	1.0 x 10^17	8.0	62	
CN	20	40	7.0 x 10^14	10	64	
H_2S	7	160	1.5 x 10^17	7	64	
	7	190	4.0 x 10^16	6	64	
HS	7	160	1.5 x 10^16	7	64	
	7	190	4.0 x 10^15	6	64	
HS	2.8	120	5.9 x 10^16	6	64	
SO	2.8	150	1.0 x 10^17	10	64	
	2.8	180	1.0 x 10^16	14	78	
	50	120	1.0 x 10^14	8	67	
	50	120	3.0 x 10^14	30	65	
^34SO	2.8	150	1.0 x 10^16	10	64	
SO_2	2.8	150	1.5 x 10^17	10	64	
	2.8	180	1.5 x 10^16	14	80	
	50	120	1.5 x 10^14	8	67	
CS	6	120	 sdotsdotsdot	10	64	
	10	85	2.8 x 10^15	35	67	
	10	20	2.8 x 10^15	35	67	
C^34S	2.8	120	4.6 x 10^15	10	64	
	10	85	2.8 x 10^14	35	67	
^13CS	2.8	120	4.6 x 10^15	10	64	
	10	85	2.8 x 10^14	35	67	
C^33S	2.8	120	2.3 x 10^15	10	64	
	10	85	1.4 x 10^14	35	67	
H_2CS	2.8	120	5.0 x 10^16	10	62	
OCS	2.8	200	3.5 x 10^17	8	63	
NS	2.8	90	1.0 x 10^16	9	64	
	2.8	90	6.1 x 10^15	8	73	
CCH	22	50	6.0 x 10^14	13	64	

Note.
a Where no value is given, the model is deemed to be purely an effective line shape fit due to high optical depth in that species.
