Table 7
LTE Parameters for the Sgr B2(N) Full-band Model (Cold Absorption Components, T_ex < 40 K).

Molecule	Source Size	T_rot	N	Deltav	v_LSR	
(")	(K)	(cm^-2)	(km s^-1)	(km s^-1)	
CH_3OH-A	ext.	10	6.0 x 10^15	12	64	
	ext.	10	1.0 x 10^16	12	74	
	ext.	5	2.0 x 10^15	12	74	
	ext.	4	2.0 x 10^14	15	7	
	ext.	4	1.0 x 10^14	6	2	
CH_3OH-E	ext.	7.5	1.45 x 10^16 	13	63.5	
	ext.	10.5	1.0 x 10^16	12	74	
	ext.	2.7	4.0 x 10^15	13	63.5	
	ext.	2.7	8.0 x 10^15	12	74	
	ext.	6	2.0 x 10^14	15	7	
	ext.	6	1.0 x 10^14	6	2	
^13CH_3OH	ext.	5	1.5 x 10^15	13	64	
	ext.	7	7.9 x 10^14	12	77	
HOCO^+	ext.	14	3.0 x 10^13	11	64	
	ext.	14	1.5 x 10^13	10	78	
OH^+	ext.	2.7	2.7 x 10^14	28	64	
H_2O^+	ext.	2.7	5.7 x 10^14	27	64	
OH	ext.	20	2.5 x 10^17	10	59	
	ext.	20	5.0 x 10^17	6.5	73	
CH_2NH	ext.	6	1.6 x 10^14	11	62	
	ext.	11	6.0 x 10^13	6	72	
	ext.	6	1.4 x 10^14	15	78	
NH_2	ext.	14	4.0 x 10^15	12	63	
	ext	18	1.2 x 10^15	10	74	
^14NH_3	ext.	20	8.6 x 10^15	10	64	
	ext.	8	2.0 x 10^15	10	64	
	ext.	4	2.0 x 10^15	15	64	
	ext.	20	1.0 x 10^16	10	73	
	ext.	8	1.2 x 10^15	12	77	
^15NH_3	ext.	11	5.0 x 10^13	10	59	
	ext.	35	6.0 x 10^14	13	59	
	ext.	3	4.0 x 10^12	10	74	
NH	ext.	6	7.0 x 10^15	15	64	
	ext.	6	1.4 x 10^15	7	79	
	ext.	6	3.0 x 10^14	7	86	
N II	ext.	13	5.0 x 10^17	13	0	
HNCO	ext.	13.1	1.3 x 10^15	13	64	
	ext.	15.5	1.0 x 10^15	12	81	
HNO	ext.	8.5	3.2 x 10^13	9	64	
H_2S	ext.	30	1.4 x 10^14	9	64	
	ext.	6	1.0 x 10^16	25	64	
	ext.	30	4.4 x 10^14	9	73	
HS	ext.	8	3.0 x 10^13	9	55	
	ext.	4.8	1.4 x 10^15	9	64	
	ext.	12	8.0 x 10^13	6	73	
	ext.	2	8.0 x 10^16	18	73	
HS	ext.	8	3.0 x 10^13	9	55	
	ext.	2	9.0 x 10^15	9	64	
	ext.	2	8.0 x 10^15	12	73	
SH^+	ext.	3	1.5 x 10^14	19	58	
	ext.	3	4.4 x 10^13	12	77	
CH	ext.	2.7	8.5 x 10^13	10.5	52	
	ext.	2.7	2.9 x 10^14	10.5	62	
	ext.	2.7	3.0 x 10^13	8	78	
CH^+	ext.	4.4	1.7 x 10^14	31	55	
	ext.	4.4	1.0 x 10^14	10	64	
	ext.	4.4	2.8 x 10^13	8	76	
	ext.	4.4	4.5 x 10^12	14	89	
^13CH^+	ext.	4.4	3.9 x 10^12	31	55	
	ext.	4.4	2.1 x 10^12	8	66	
	ext.	4.4	8.4 x 10^11	8	78	
C_3	ext.	32	1.6 x 10^16	8	65	
	ext.	36	1.6 x 10^16	10	76	
HF	ext.	2.7	1.5 x 10^13	9	50	
	ext.	2.7	8.2 x 10^14	16	68	
	ext.	2.7	4.0 x 10^13	9	82	
H^35Cl	ext.	8.5	1.0 x 10^14	20	8	
	ext.	8.5	9.0 x 10^14	20	66	
	ext.	8.5	2.2 x 10^14	6	73	
	ext.	2.7	3.0 x 10^14	20	72	
H^37Cl	ext.	8.5	3.0 x 10^13	20	8	
	ext.	8.5	3.5 x 10^14	20	66	
	ext.	8.5	8.6 x 10^13	6	73	
HCl^+	ext.	2.7	4.1 x 10^13	12	2	
	ext.	2.7	9.3 x 10^12	4.5	16	
HCl^+	ext.	2.7	1.1 x 10^13	12	2	
	ext.	2.7	2.0 x 10^12	4.5	16	
